Local time,Open,High,Low,Close,Volume,Next Open
2003-12-24,1.24432,1.24608,1.24324,1.24494,915214.4053000001,1.24483
2003-12-25,1.24483,1.24676,1.24191,1.24246,1305323.6133,1.24246
2003-12-26,1.24246,1.24246,1.24246,1.24246,0,1.24246
2003-12-28,1.24242,1.25058,1.24212,1.24866,1330689.385,1.24894
2003-12-29,1.24894,1.25603,1.24736,1.25466,1346264.2989,1.25479
2003-12-30,1.25479,1.26455,1.25119,1.25899,1318539.6894000003,1.25915
2003-12-31,1.25915,1.26035,1.24679,1.25434,512061.6974,1.25420
2004-01-01,1.25420,1.26263,1.25198,1.25806,1337402.5177000002,1.25806
2004-01-02,1.25806,1.25806,1.25806,1.25806,0,1.25806
2004-01-04,1.25816,1.26924,1.25785,1.26727,1354226.0078,1.26720
2004-01-05,1.26720,1.28083,1.26650,1.27230,1349584.7011,1.27230
2004-01-06,1.27230,1.27404,1.26221,1.26296,1348413.4982000003,1.26290
2004-01-07,1.26290,1.27786,1.25576,1.27635,1350773.2948,1.27637
2004-01-08,1.27637,1.28665,1.27021,1.28123,1336174.3945,1.28123
2004-01-09,1.28123,1.28123,1.28123,1.28123,0,1.28123
2004-01-11,1.28522,1.28956,1.27328,1.27467,1337453.5001,1.27457
2004-01-12,1.27457,1.27947,1.27114,1.27698,1348261.7072,1.27720
2004-01-13,1.27720,1.27871,1.26276,1.26447,1338604.3906999999,1.26440
2004-01-14,1.26440,1.26693,1.25562,1.25756,1357261.0117,1.25743
2004-01-15,1.25743,1.26071,1.23494,1.23936,1342086.8145,1.23936
2004-01-16,1.23936,1.23936,1.23936,1.23936,0,1.23936
2004-01-18,1.23660,1.24226,1.23323,1.23468,1343509.9843000001,1.23480
2004-01-19,1.23480,1.25940,1.23411,1.25767,1345896.8788,1.25770
2004-01-20,1.25770,1.26695,1.25488,1.26409,1354933.6037,1.26389
2004-01-21,1.26389,1.27475,1.26328,1.27169,1346658.1193000001,1.27148
2004-01-22,1.27148,1.27732,1.25621,1.25781,1353179.3867,1.25781
2004-01-23,1.25781,1.25781,1.25781,1.25781,0,1.25781
2004-01-25,1.25726,1.26095,1.24557,1.24565,1356641.7989,1.24588
2004-01-26,1.24588,1.26503,1.24391,1.26404,1316419.2052,1.26429
2004-01-27,1.26429,1.26608,1.24618,1.24655,1344965.2968,1.24665
2004-01-28,1.24665,1.25252,1.23607,1.24046,1337715.2148999998,1.24046
2004-01-29,1.24046,1.24897,1.23491,1.24731,1354824.9102000003,1.24731
2004-01-30,1.24731,1.24731,1.24731,1.24731,0,1.24731
2004-02-01,1.24680,1.24848,1.23882,1.24221,1348842.8128,1.24232
2004-02-02,1.24232,1.25967,1.24124,1.25381,1349861.7831,1.25407
2004-02-03,1.25407,1.25593,1.24919,1.25323,1358026.3828999999,1.25329
2004-02-04,1.25329,1.26348,1.25157,1.25440,1353343.1777000001,1.25455
2004-02-05,1.25455,1.27226,1.25100,1.27000,1351709.2149,1.27000
2004-02-06,1.27000,1.27000,1.27000,1.27000,0,1.27000
2004-02-08,1.26038,1.27589,1.25963,1.26929,1364519.9964,1.26954
2004-02-09,1.26954,1.27848,1.26649,1.26679,1369838.5995999998,1.26682
2004-02-10,1.26682,1.28364,1.26482,1.28295,1361071.086,1.28319
2004-02-11,1.28319,1.28432,1.27873,1.28058,1358831.1818000001,1.28061
2004-02-12,1.28061,1.28898,1.27135,1.27305,1367540.2051000001,1.27305
2004-02-13,1.27305,1.27305,1.27305,1.27305,0,1.27305
2004-02-15,1.27428,1.27870,1.27139,1.27671,1350759.9043,1.27679
2004-02-16,1.27679,1.28751,1.27533,1.28372,1365673.9785,1.28395
2004-02-17,1.28395,1.29247,1.26561,1.26849,1359136.5117,1.26860
2004-02-18,1.26860,1.27342,1.26516,1.27102,1345748.4062,1.27112
2004-02-19,1.27112,1.27643,1.24928,1.25319,1358803.0098999997,1.25319
2004-02-20,1.25319,1.25319,1.25319,1.25319,0,1.25319
2004-02-22,1.25247,1.25932,1.24494,1.25522,1368480.6132,1.25552
2004-02-23,1.25552,1.27115,1.25203,1.26815,1345493.9064999998,1.26822
2004-02-24,1.26822,1.27039,1.24716,1.24973,1362384.9104000002,1.24982
2004-02-25,1.24982,1.25129,1.23826,1.24366,1346051.3126,1.24361
2004-02-26,1.24361,1.25049,1.23718,1.24887,1347994.3106999998,1.24887
2004-02-27,1.24887,1.24887,1.24887,1.24887,0,1.24887
2004-02-29,1.24820,1.25398,1.24215,1.24527,1350394.3908,1.24539
2004-03-01,1.24539,1.24673,1.21938,1.22126,1359050.1056000004,1.22121
2004-03-02,1.22121,1.22209,1.20546,1.21998,1343582.5117000001,1.22009
2004-03-03,1.22009,1.22380,1.21334,1.22004,1352416.6933,1.21985
2004-03-04,1.21985,1.24275,1.21731,1.23642,1347506.004,1.23642
2004-03-05,1.23642,1.23642,1.23642,1.23642,0,1.23642
2004-03-07,1.23857,1.24150,1.23359,1.24013,1360393.0977,1.24020
2004-03-08,1.24020,1.24573,1.22716,1.23240,1358591.4044,1.23226
2004-03-09,1.23226,1.23282,1.21946,1.22205,1354605.7010000001,1.22200
2004-03-10,1.22200,1.23831,1.21620,1.23484,1356982.2091,1.23481
2004-03-11,1.23481,1.23709,1.21707,1.22145,1347175.4066,1.22145
2004-03-12,1.22145,1.22145,1.22145,1.22145,0,1.22145
2004-03-14,1.21887,1.23154,1.21815,1.22600,1357924.2052,1.22606
2004-03-15,1.22606,1.23695,1.22295,1.22693,1360225.9747000001,1.22709
2004-03-16,1.22709,1.22870,1.21730,1.22316,1338080.8049,1.22310
2004-03-17,1.22310,1.24315,1.22182,1.23833,1354175.8185000003,1.23837
2004-03-18,1.23837,1.24058,1.22540,1.22829,1350261.3047999998,1.22829
2004-03-19,1.22829,1.22829,1.22829,1.22829,0,1.22829
2004-03-21,1.22754,1.23983,1.22189,1.23273,1360833.2814000002,1.23289
2004-03-22,1.23289,1.23678,1.22628,1.23325,1361277.2072999997,1.23354
2004-03-23,1.23354,1.23653,1.21133,1.21297,1362066.299,1.21322
2004-03-24,1.21322,1.21987,1.20962,1.21235,1366087.6914,1.21260
2004-03-25,1.21260,1.22083,1.20733,1.21272,1367063.0938000001,1.21272
2004-03-26,1.21272,1.21272,1.21272,1.21272,0,1.21272
2004-03-28,1.21078,1.21668,1.20559,1.21538,1350568.7012,1.21544
2004-03-29,1.21544,1.22263,1.21474,1.21678,1306805.0763,1.21706
2004-03-30,1.21706,1.23203,1.21668,1.23114,1357518.4982,1.23130
2004-03-31,1.23130,1.23862,1.22532,1.23617,1367239.0098999997,1.23602
2004-04-01,1.23602,1.23712,1.20978,1.21305,1355062.1134000001,1.21305
2004-04-02,1.21305,1.21305,1.21305,1.21305,0,1.21305
2004-04-04,1.21076,1.21263,1.19808,1.20149,1374654.1855,1.20118
2004-04-05,1.20118,1.21335,1.19802,1.21136,1362593.0939999998,1.21096
2004-04-06,1.21096,1.21966,1.20472,1.21712,1358019.5003,1.21684
2004-04-07,1.21684,1.22166,1.20574,1.20823,1362116.3944999997,1.20795
2004-04-08,1.20795,1.21104,1.20607,1.20858,1279444.707,1.20858
2004-04-09,1.20858,1.20858,1.20858,1.20858,0,1.20858
2004-04-11,1.20857,1.20956,1.20490,1.20730,1322737.8887,1.20734
2004-04-12,1.20734,1.20821,1.19021,1.19424,1332390.6973,1.19400
2004-04-13,1.19400,1.19739,1.18678,1.19594,1373773.6056,1.19547
2004-04-14,1.19547,1.19920,1.18910,1.19816,1373514.0079,1.19780
2004-04-15,1.19780,1.20442,1.19210,1.19886,1369769.9940999998,1.19886
2004-04-16,1.19886,1.19886,1.19886,1.19886,0,1.19886
2004-04-18,1.19989,1.20756,1.19980,1.20204,1352776.8886999998,1.20175
2004-04-19,1.20175,1.20215,1.18394,1.18647,1361049.3985000001,1.18621
2004-04-20,1.18621,1.19111,1.18140,1.18377,1361827.1250999998,1.18341
2004-04-21,1.18341,1.19133,1.17758,1.19002,1363759.0742999997,1.18985
2004-04-22,1.18985,1.19401,1.17935,1.18415,1350705.1875,1.18415
2004-04-23,1.18415,1.18415,1.18415,1.18415,0,1.18415
2004-04-25,1.18177,1.18840,1.17573,1.18644,1359770.7069,1.18606
2004-04-26,1.18606,1.19456,1.18302,1.19223,1351854.0938000001,1.19193
2004-04-27,1.19193,1.19496,1.18206,1.18393,1356730.6251,1.18322
2004-04-28,1.18322,1.19841,1.18027,1.19598,1373783.8166000003,1.19557
2004-04-29,1.19557,1.20089,1.19185,1.19770,1357539.0059,1.19770
2004-04-30,1.19770,1.19827,1.19770,1.19827,0,1.19827
2004-05-02,1.19770,1.20000,1.19189,1.19404,1359898.6153000002,1.19428
2004-05-03,1.19428,1.21173,1.19227,1.20962,1346133.0099999998,1.20920
2004-05-04,1.20920,1.21786,1.20915,1.21710,1360703.3964000002,1.21713
2004-05-05,1.21713,1.21749,1.20625,1.20795,1369606.9085,1.20800
2004-05-06,1.20800,1.21313,1.18740,1.18782,1360201.7773,1.18782
2004-05-07,1.18782,1.18782,1.18782,1.18782,0,1.18782
2004-05-09,1.18648,1.18936,1.18103,1.18448,1364241.1955000001,1.18477
2004-05-10,1.18477,1.18885,1.17869,1.18678,1352422.209,1.18661
2004-05-11,1.18661,1.19402,1.18322,1.18962,1374159.8124000002,1.18930
2004-05-12,1.18930,1.19294,1.17708,1.18197,1373186.4064999998,1.18133
2004-05-13,1.18133,1.19007,1.17806,1.18825,1369928.7910000002,1.18825
2004-05-14,1.18825,1.18825,1.18825,1.18825,0,1.18825
2004-05-16,1.18832,1.20580,1.18758,1.20241,1358173.4083999998,1.20218
2004-05-17,1.20218,1.20378,1.19272,1.19493,1366832.4005000002,1.19460
2004-05-18,1.19460,1.20409,1.19346,1.20071,1367739.4005,1.20052
2004-05-19,1.20052,1.20188,1.18942,1.19622,1369802.2127,1.19577
2004-05-20,1.19577,1.20679,1.19510,1.19801,1366406.3965,1.19801
2004-05-21,1.19801,1.19801,1.19801,1.19801,0,1.19801
2004-05-23,1.19817,1.20231,1.19324,1.20020,1364336.8009999997,1.19978
2004-05-24,1.19978,1.21263,1.19818,1.21045,1371858.0019999999,1.21050
2004-05-25,1.21050,1.21422,1.20814,1.20990,1348788.5138,1.21010
2004-05-26,1.21010,1.22884,1.20867,1.22602,1363603.9922,1.22554
2004-05-27,1.22554,1.22956,1.22002,1.22118,1355819.0176,1.22118
2004-05-28,1.22118,1.22118,1.22118,1.22118,0,1.22118
2004-05-30,1.22304,1.22529,1.21759,1.21854,1131630.7969000002,1.21824
2004-05-31,1.21824,1.22657,1.21543,1.22447,1383596.0118999996,1.22410
2004-06-01,1.22410,1.23030,1.22032,1.22085,1379091.3026,1.22071
2004-06-02,1.22071,1.22496,1.21680,1.22242,1364395.2247,1.22245
2004-06-03,1.22245,1.22997,1.21395,1.22817,1361491.1933,1.22817
2004-06-04,1.22817,1.22817,1.22817,1.22817,0,1.22817
2004-06-06,1.22867,1.23373,1.22742,1.23170,1364601.1953,1.23134
2004-06-07,1.23134,1.23500,1.22434,1.22620,1359548.3828,1.22614
2004-06-08,1.22614,1.22738,1.20335,1.20439,1363845.4882999999,1.20418
2004-06-09,1.20418,1.21179,1.20225,1.21035,1348948.2852,1.21020
2004-06-10,1.21020,1.21145,1.19624,1.20038,1369795.9962,1.20038
2004-06-11,1.20038,1.20038,1.20038,1.20038,0,1.20038
2004-06-13,1.19960,1.20872,1.19512,1.20531,1357036.4221,1.20510
2004-06-14,1.20510,1.21694,1.20254,1.21584,1372933.1855,1.21578
2004-06-15,1.21578,1.21677,1.19787,1.20085,1361231.7929999998,1.20060
2004-06-16,1.20060,1.20769,1.19901,1.20508,1364645.2949999997,1.20493
2004-06-17,1.20493,1.21467,1.19725,1.21343,1366505.8163,1.21343
2004-06-18,1.21343,1.21343,1.21343,1.21343,0,1.21343
2004-06-20,1.21308,1.21450,1.20749,1.21132,1347742.9941,1.21073
2004-06-21,1.21073,1.21306,1.20652,1.21067,1361793.3164000001,1.21052
2004-06-22,1.21052,1.21911,1.20624,1.20900,1373304.4981,1.20867
2004-06-23,1.20867,1.21874,1.20380,1.21668,1351438.3067,1.21640
