CO2,b-1,b-2,b-3
-0.002420423,0.000135902,0.003605861,0.008571772
0.018874028,-0.002420423,0.000135902,0.003605861
-0.007904412,0.018874028,-0.002420423,0.000135902
0.003175165,-0.007904412,0.018874028,-0.002420423
0.000125933,0.003175165,-0.007904412,0.018874028
-0.000486879,0.000125933,0.003175165,-0.007904412
-0.011422045,-0.000486879,0.000125933,0.003175165
0.001512217,-0.011422045,-0.000486879,0.000125933
0.01263933,0.001512217,-0.011422045,-0.000486879
-0.002714113,0.01263933,0.001512217,-0.011422045
0.007139737,-0.002714113,0.01263933,0.001512217
-0.001659689,0.007139737,-0.002714113,0.01263933
0.000843755,-0.001659689,0.007139737,-0.002714113
0.008121599,0.000843755,-0.001659689,0.007139737
0.002459077,0.008121599,0.000843755,-0.001659689
-0.002221782,0.002459077,0.008121599,0.000843755
0.006862299,-0.002221782,0.002459077,0.008121599
0.000616604,0.006862299,-0.002221782,0.002459077
0.003680911,0.000616604,0.006862299,-0.002221782
0.003299033,0.003680911,0.000616604,0.006862299
-0.003467689,0.003299033,0.003680911,0.000616604
0.000507635,-0.003467689,0.003299033,0.003680911
0.004361809,0.000507635,-0.003467689,0.003299033
-0.010812352,0.004361809,0.000507635,-0.003467689
0.014406563,-0.010812352,0.004361809,0.000507635
0.000998766,0.014406563,-0.010812352,0.004361809
0.006489556,0.000998766,0.014406563,-0.010812352
0.001039694,0.006489556,0.000998766,0.014406563
-0.003953174,0.001039694,0.006489556,0.000998766
0.002392635,-0.003953174,0.001039694,0.006489556
-0.000620923,0.002392635,-0.003953174,0.001039694
-4.03E-05,-0.000620923,0.002392635,-0.003953174
0.00407498,-4.03447E-05,-0.000620923,0.002392635
0.000409862,0.00407498,-4.03447E-05,-0.000620923
-0.001903874,0.000409862,0.00407498,-4.03447E-05
-3.22E-05,-0.001903874,0.000409862,0.00407498
0.005247823,-3.21942E-05,-0.001903874,0.000409862
0.004683972,0.005247823,-3.21942E-05,-0.001903874
0.003474685,0.004683972,0.005247823,-3.21942E-05
-0.003931223,0.003474685,0.004683972,0.005247823
0.003077659,-0.003931223,0.003474685,0.004683972
7.95E-05,0.003077659,-0.003931223,0.003474685
0.007185096,7.94875E-05,0.003077659,-0.003931223
0.004024621,0.007185096,7.94875E-05,0.003077659
-0.007388195,0.004024621,0.007185096,7.94875E-05
0.010665928,-0.007388195,0.004024621,0.007185096
0.003807673,0.010665928,-0.007388195,0.004024621
0.003114195,0.003807673,0.010665928,-0.007388195
-0.008286519,0.003114195,0.003807673,0.010665928
0.002063441,-0.008286519,0.003114195,0.003807673
-0.010021923,0.002063441,-0.008286519,0.003114195
-0.005512496,-0.010021923,0.002063441,-0.008286519
-0.014370581,-0.005512496,-0.010021923,0.002063441
-0.002226956,-0.014370581,-0.005512496,-0.010021923
-0.001455604,-0.002226956,-0.014370581,-0.005512496
0.018545513,-0.001455604,-0.002226956,-0.014370581
0.004921682,0.018545513,-0.001455604,-0.002226956
0.006005269,0.004921682,0.018545513,-0.001455604
-0.010751251,0.006005269,0.004921682,0.018545513
-0.000437268,-0.010751251,0.006005269,0.004921682
-0.009051429,-0.000437268,-0.010751251,0.006005269
0.014776704,-0.009051429,-0.000437268,-0.010751251
-0.013952495,0.014776704,-0.009051429,-0.000437268
-0.004965307,-0.013952495,0.014776704,-0.009051429
0.005522145,-0.004965307,-0.013952495,0.014776704
-0.00040888,0.005522145,-0.004965307,-0.013952495
-0.003593199,-0.00040888,0.005522145,-0.004965307
0.009458111,-0.003593199,-0.00040888,0.005522145
-0.000621975,0.009458111,-0.003593199,-0.00040888
0.001005354,-0.000621975,0.009458111,-0.003593199
0.012315173,0.001005354,-0.000621975,0.009458111
-0.007574803,0.012315173,0.001005354,-0.000621975
0.007267649,-0.007574803,0.012315173,0.001005354
-0.002142508,0.007267649,-0.007574803,0.012315173
0.01292212,-0.002142508,0.007267649,-0.007574803
-0.002010614,0.01292212,-0.002142508,0.007267649
-0.005903437,-0.002010614,0.01292212,-0.002142508
0.000966184,-0.005903437,-0.002010614,0.01292212
0.00196974,0.000966184,-0.005903437,-0.002010614
0.005607813,0.00196974,0.000966184,-0.005903437
-0.011955294,0.005607813,0.00196974,0.000966184
0.001986442,-0.011955294,0.005607813,0.00196974
-0.014105671,0.001986442,-0.011955294,0.005607813
-0.000574534,-0.014105671,0.001986442,-0.011955294
0.002435188,-0.000574534,-0.014105671,0.001986442
0.010115331,0.002435188,-0.000574534,-0.014105671
-0.014508524,0.010115331,0.002435188,-0.000574534
-0.004968715,-0.014508524,0.010115331,0.002435188
0.004229622,-0.004968715,-0.014508524,0.010115331
-0.000536485,0.004229622,-0.004968715,-0.014508524
-0.002251242,-0.000536485,0.004229622,-0.004968715
-0.019415605,-0.002251242,-0.000536485,0.004229622
-0.000917123,-0.019415605,-0.002251242,-0.000536485
-0.000196707,-0.000917123,-0.019415605,-0.002251242
0.013583637,-0.000196707,-0.000917123,-0.019415605
0.001738891,0.013583637,-0.000196707,-0.000917123
0.001316034,0.001738891,0.013583637,-0.000196707
-0.006402193,0.001316034,0.001738891,0.013583637
-0.008326165,-0.006402193,0.001316034,0.001738891
0.010482815,-0.008326165,-0.006402193,0.001316034
-0.010819478,0.010482815,-0.008326165,-0.006402193
-0.002112244,-0.010819478,0.010482815,-0.008326165
0.005898906,-0.002112244,-0.010819478,0.010482815
0.000840089,0.005898906,-0.002112244,-0.010819478
-0.003251595,0.000840089,0.005898906,-0.002112244
0.01248467,-0.003251595,0.000840089,0.005898906
-0.008139732,0.01248467,-0.003251595,0.000840089
-0.000610605,-0.008139732,0.01248467,-0.003251595
0.00435831,-0.000610605,-0.008139732,0.01248467
0.000527217,0.00435831,-0.000610605,-0.008139732
-0.016472915,0.000527217,0.00435831,-0.000610605
-0.000511037,-0.016472915,0.000527217,0.00435831
