Local time,Open
5/20/2005,1.25549
5/22/2005,1.25454
5/23/2005,1.25686
5/24/2005,1.2576
5/25/2005,1.25952
5/26/2005,1.25062
5/27/2005,1.25802
5/29/2005,1.25718
5/30/2005,1.24683
5/31/2005,1.22934
6/1/2005,1.21695
6/2/2005,1.22584
6/3/2005,1.22302
6/5/2005,1.22218
6/6/2005,1.22488
6/7/2005,1.22757
6/8/2005,1.22235
6/9/2005,1.22202
6/10/2005,1.21123
6/12/2005,1.21041
6/13/2005,1.2101
6/14/2005,1.20243
6/15/2005,1.21053
6/16/2005,1.21053
6/17/2005,1.22801
6/19/2005,1.22377
6/20/2005,1.21468
6/21/2005,1.21738
6/22/2005,1.21226
6/23/2005,1.20297
6/24/2005,1.20893
6/26/2005,1.2081
6/27/2005,1.2157
6/28/2005,1.20458
6/29/2005,1.2062
6/30/2005,1.21003
7/1/2005,1.19526
7/3/2005,1.19462
7/4/2005,1.1895
7/5/2005,1.19002
7/6/2005,1.19212
7/7/2005,1.19408
7/8/2005,1.19615
7/10/2005,1.19633
7/11/2005,1.20612
7/12/2005,1.22325
7/13/2005,1.2086
7/14/2005,1.20742
7/15/2005,1.20292
7/17/2005,1.2021
7/18/2005,1.20455
7/19/2005,1.20297
7/20/2005,1.21307
7/21/2005,1.2164
7/22/2005,1.20602
7/24/2005,1.20567
7/25/2005,1.20525
7/26/2005,1.20065
7/27/2005,1.2058
7/28/2005,1.21287
7/29/2005,1.2116
7/31/2005,1.21149
8/1/2005,1.2169
8/2/2005,1.21843
8/3/2005,1.2328
8/4/2005,1.23742
8/5/2005,1.23523
8/7/2005,1.2359
8/8/2005,1.23422
8/9/2005,1.23652
8/10/2005,1.2376
8/11/2005,1.24663
8/12/2005,1.24342
8/14/2005,1.24334
8/15/2005,1.23591
8/16/2005,1.23608
8/17/2005,1.22602
8/18/2005,1.21692
8/19/2005,1.21455
8/21/2005,1.21548
8/22/2005,1.22211
8/23/2005,1.22245
8/24/2005,1.22677
8/25/2005,1.22944
8/26/2005,1.22877
8/28/2005,1.22825
8/29/2005,1.22275
8/30/2005,1.2213
8/31/2005,1.23321
9/1/2005,1.24933
9/2/2005,1.25277
9/4/2005,1.25151
9/5/2005,1.25345
9/6/2005,1.24606
9/7/2005,1.2412
9/8/2005,1.23937
9/9/2005,1.24064
9/11/2005,1.23975
9/12/2005,1.22763
9/13/2005,1.2257
